CIDR	Start IP	End IP	Subnet Mask	Addresses	Hosts	Wildcard mask
4.239.255.128/26	4.239.255.128	4.239.255.191	255.255.255.192	64	62	0.0.0.63
4.239.255.192/27	4.239.255.192	4.239.255.223	255.255.255.224	32	30	0.0.0.31
4.239.255.224/28	4.239.255.224	4.239.255.239	255.255.255.240	16	14	0.0.0.15
4.239.255.240/29	4.239.255.240	4.239.255.247	255.255.255.248	8	6	0.0.0.7
4.239.255.248/30	4.239.255.248	4.239.255.251	255.255.255.252	4	2	0.0.0.3
4.239.255.252/31	4.239.255.252	4.239.255.253	255.255.255.254	2	2	0.0.0.1
4.239.255.254/32	4.239.255.254	4.239.255.254	255.255.255.255	1	1	0.0.0.0
4.239.255.255/32	4.239.255.255	4.239.255.255	255.255.255.255	1	1	0.0.0.0
70.37.0.0/17	70.37.0.0	70.37.127.255	255.255.128.0	32768	32766	0.0.127.255
70.37.128.0/19	70.37.128.0	70.37.159.255	255.255.224.0	8192	8190	0.0.31.255
70.37.160.0/20	70.37.160.0	70.37.175.255	255.255.240.0	4096	4094	0.0.15.255
70.37.176.0/21	70.37.176.0	70.37.183.255	255.255.248.0	2048	2046	0.0.7.255
70.37.184.0/22	70.37.184.0	70.37.187.255	255.255.252.0	1024	1022	0.0.3.255
70.37.188.0/23	70.37.188.0	70.37.189.255	255.255.254.0	512	510	0.0.1.255
70.37.190.0/24	70.37.190.0	70.37.190.255	255.255.255.0	256	254	0.0.0.255
70.37.191.0/25	70.37.191.0	70.37.191.127	255.255.255.128	128	126	0.0.0.127
70.37.191.128/26	70.37.191.128	70.37.191.191	255.255.255.192	64	62	0.0.0.63
70.37.191.192/27	70.37.191.192	70.37.191.223	255.255.255.224	32	30	0.0.0.31
70.37.191.224/28	70.37.191.224	70.37.191.239	255.255.255.240	16	14	0.0.0.15
70.37.191.240/29	70.37.191.240	70.37.191.247	255.255.255.248	8	6	0.0.0.7
70.37.191.248/30	70.37.191.248	70.37.191.251	255.255.255.252	4	2	0.0.0.3
70.37.191.252/31	70.37.191.252	70.37.191.253	255.255.255.254	2	2	0.0.0.1
70.37.191.254/32	70.37.191.254	70.37.191.254	255.255.255.255	1	1	0.0.0.0
70.37.191.255/32	70.37.191.255	70.37.191.255	255.255.255.255	1	1	0.0.0.0
51.132.0.0/17	51.132.0.0	51.132.127.255	255.255.128.0	32768	32766	0.0.127.255
51.132.128.0/18	51.132.128.0	51.132.191.255	255.255.192.0	16384	16382	0.0.63.255
51.132.192.0/19	51.132.192.0	51.132.223.255	255.255.224.0	8192	8190	0.0.31.255
51.132.224.0/20	51.132.224.0	51.132.239.255	255.255.240.0	4096	4094	0.0.15.255
51.132.240.0/21	51.132.240.0	51.132.247.255	255.255.248.0	2048	2046	0.0.7.255
51.132.248.0/22	51.132.248.0	51.132.251.255	255.255.252.0	1024	1022	0.0.3.255
51.132.252.0/23	51.132.252.0	51.132.253.255	255.255.254.0	512	510	0.0.1.255
51.132.254.0/24	51.132.254.0	51.132.254.255	255.255.255.0	256	254	0.0.0.255
51.132.255.0/25	51.132.255.0	51.132.255.127	255.255.255.128	128	126	0.0.0.127
51.132.255.128/26	51.132.255.128	51.132.255.191	255.255.255.192	64	62	0.0.0.63
51.132.255.192/27	51.132.255.192	51.132.255.223	255.255.255.224	32	30	0.0.0.31
51.132.255.224/28	51.132.255.224	51.132.255.239	255.255.255.240	16	14	0.0.0.15
51.132.255.240/29	51.132.255.240	51.132.255.247	255.255.255.248	8	6	0.0.0.7
51.132.255.248/30	51.132.255.248	51.132.255.251	255.255.255.252	4	2	0.0.0.3
51.132.255.252/31	51.132.255.252	51.132.255.253	255.255.255.254	2	2	0.0.0.1
51.132.255.254/32	51.132.255.254	51.132.255.254	255.255.255.255	1	1	0.0.0.0
51.132.255.255/32	51.132.255.255	51.132.255.255	255.255.255.255	1	1	0.0.0.0
138.91.0.0/17	138.91.0.0	138.91.127.255	255.255.128.0	32768	32766	0.0.127.255
138.91.128.0/18	138.91.128.0	138.91.191.255	255.255.192.0	16384	16382	0.0.63.255
138.91.192.0/19	138.91.192.0	138.91.223.255	255.255.224.0	8192	8190	0.0.31.255
138.91.224.0/20	138.91.224.0	138.91.239.255	255.255.240.0	4096	4094	0.0.15.255
138.91.240.0/21	138.91.240.0	138.91.247.255	255.255.248.0	2048	2046	0.0.7.255
138.91.248.0/22	138.91.248.0	138.91.251.255	255.255.252.0	1024	1022	0.0.3.255
138.91.252.0/23	138.91.252.0	138.91.253.255	255.255.254.0	512	510	0.0.1.255
138.91.254.0/24	138.91.254.0	138.91.254.255	255.255.255.0	256	254	0.0.0.255
138.91.255.0/25	138.91.255.0	138.91.255.127	255.255.255.128	128	126	0.0.0.127
138.91.255.128/26	138.91.255.128	138.91.255.191	255.255.255.192	64	62	0.0.0.63
138.91.255.192/27	138.91.255.192	138.91.255.223	255.255.255.224	32	30	0.0.0.31
138.91.255.224/28	138.91.255.224	138.91.255.239	255.255.255.240	16	14	0.0.0.15
138.91.255.240/29	138.91.255.240	138.91.255.247	255.255.255.248	8	6	0.0.0.7
138.91.255.248/30	138.91.255.248	138.91.255.251	255.255.255.252	4	2	0.0.0.3
138.91.255.252/31	138.91.255.252	138.91.255.253	255.255.255.254	2	2	0.0.0.1
138.91.255.254/32	138.91.255.254	138.91.255.254	255.255.255.255	1	1	0.0.0.0
138.91.255.255/32	138.91.255.255	138.91.255.255	255.255.255.255	1	1	0.0.0.0
20.0.0.0/12	20.0.0.0	20.15.255.255	255.240.0.0	1048576	1048574	0.15.255.255
20.16.0.0/13	20.16.0.0	20.23.255.255	255.248.0.0	524288	524286	0.7.255.255
20.24.0.0/14	20.24.0.0	20.27.255.255	255.252.0.0	262144	262142	0.3.255.255
20.28.0.0/15	20.28.0.0	20.29.255.255	255.254.0.0	131072	131070	0.1.255.255
20.30.0.0/16	20.30.0.0	20.30.255.255	255.255.0.0	65536	65534	0.0.255.255
20.31.0.0/17	20.31.0.0	20.31.127.255	255.255.128.0	32768	32766	0.0.127.255
20.31.128.0/18	20.31.128.0	20.31.191.255	255.255.192.0	16384	16382	0.0.63.255
20.31.192.0/19	20.31.192.0	20.31.223.255	255.255.224.0	8192	8190	0.0.31.255
20.31.224.0/20	20.31.224.0	20.31.239.255	255.255.240.0	4096	4094	0.0.15.255
20.31.240.0/21	20.31.240.0	20.31.247.255	255.255.248.0	2048	2046	0.0.7.255
20.31.248.0/22	20.31.248.0	20.31.251.255	255.255.252.0	1024	1022	0.0.3.255
20.31.252.0/23	20.31.252.0	20.31.253.255	255.255.254.0	512	510	0.0.1.255
20.31.254.0/24	20.31.254.0	20.31.254.255	255.255.255.0	256	254	0.0.0.255
20.31.255.0/25	20.31.255.0	20.31.255.127	255.255.255.128	128	126	0.0.0.127
20.31.255.128/26	20.31.255.128	20.31.255.191	255.255.255.192	64	62	0.0.0.63
20.31.255.192/27	20.31.255.192	20.31.255.223	255.255.255.224	32	30	0.0.0.31
20.31.255.224/28	20.31.255.224	20.31.255.239	255.255.255.240	16	14	0.0.0.15
20.31.255.240/29	20.31.255.240	20.31.255.247	255.255.255.248	8	6	0.0.0.7
20.31.255.248/30	20.31.255.248	20.31.255.251	255.255.255.252	4	2	0.0.0.3
20.31.255.252/31	20.31.255.252	20.31.255.253	255.255.255.254	2	2	0.0.0.1
20.31.255.254/32	20.31.255.254	20.31.255.254	255.255.255.255	1	1	0.0.0.0
20.31.255.255/32	20.31.255.255	20.31.255.255	255.255.255.255	1	1	0.0.0.0
51.140.0.0/14	51.140.0.0	51.143.255.255	255.252.0.0	262144	262142	0.3.255.255
51.144.0.0/16	51.144.0.0	51.144.255.255	255.255.0.0	65536	65534	0.0.255.255
51.145.0.0/17	51.145.0.0	51.145.127.255	255.255.128.0	32768	32766	0.0.127.255
51.145.128.0/18	51.145.128.0	51.145.191.255	255.255.192.0	16384	16382	0.0.63.255
51.145.192.0/19	51.145.192.0	51.145.223.255	255.255.224.0	8192	8190	0.0.31.255
51.145.224.0/20	51.145.224.0	51.145.239.255	255.255.240.0	4096	4094	0.0.15.255
51.145.240.0/21	51.145.240.0	51.145.247.255	255.255.248.0	2048	2046	0.0.7.255
51.145.248.0/22	51.145.248.0	51.145.251.255	255.255.252.0	1024	1022	0.0.3.255
51.145.252.0/23	51.145.252.0	51.145.253.255	255.255.254.0	512	510	0.0.1.255
51.145.254.0/24	51.145.254.0	51.145.254.255	255.255.255.0	256	254	0.0.0.255
51.145.255.0/25	51.145.255.0	51.145.255.127	255.255.255.128	128	126	0.0.0.127
51.145.255.128/26	51.145.255.128	51.145.255.191	255.255.255.192	64	62	0.0.0.63
51.145.255.192/27	51.145.255.192	51.145.255.223	255.255.255.224	32	30	0.0.0.31
51.145.255.224/28	51.145.255.224	51.145.255.239	255.255.255.240	16	14	0.0.0.15
51.145.255.240/29	51.145.255.240	51.145.255.247	255.255.255.248	8	6	0.0.0.7
51.145.255.248/30	51.145.255.248	51.145.255.251	255.255.255.252	4	2	0.0.0.3
51.145.255.252/31	51.145.255.252	51.145.255.253	255.255.255.254	2	2	0.0.0.1
51.145.255.254/32	51.145.255.254	51.145.255.254	255.255.255.255	1	1	0.0.0.0
51.145.255.255/32	51.145.255.255	51.145.255.255	255.255.255.255	1	1	0.0.0.0
157.54.0.0/15	157.54.0.0	157.55.255.255	255.254.0.0	131072	131070	0.1.255.255
157.56.0.0/14	157.56.0.0	157.59.255.255	255.252.0.0	262144	262142	0.3.255.255
157.60.0.0/17	157.60.0.0	157.60.127.255	255.255.128.0	32768	32766	0.0.127.255
157.60.128.0/18	157.60.128.0	157.60.191.255	255.255.192.0	16384	16382	0.0.63.255
157.60.192.0/19	157.60.192.0	157.60.223.255	255.255.224.0	8192	8190	0.0.31.255
157.60.224.0/20	157.60.224.0	157.60.239.255	255.255.240.0	4096	4094	0.0.15.255
157.60.240.0/21	157.60.240.0	157.60.247.255	255.255.248.0	2048	2046	0.0.7.255
157.60.248.0/22	157.60.248.0	157.60.251.255	255.255.252.0	1024	1022	0.0.3.255
157.60.252.0/23	157.60.252.0	157.60.253.255	255.255.254.0	512	510	0.0.1.255
157.60.254.0/24	157.60.254.0	157.60.254.255	255.255.255.0	256	254	0.0.0.255
157.60.255.0/25	157.60.255.0	157.60.255.127	255.255.255.128	128	126	0.0.0.127
157.60.255.128/26	157.60.255.128	157.60.255.191	255.255.255.192	64	62	0.0.0.63
157.60.255.192/27	157.60.255.192	157.60.255.223	255.255.255.224	32	30	0.0.0.31
157.60.255.224/28	157.60.255.224	157.60.255.239	255.255.255.240	16	14	0.0.0.15
157.60.255.240/29	157.60.255.240	157.60.255.247	255.255.255.248	8	6	0.0.0.7
157.60.255.248/30	157.60.255.248	157.60.255.251	255.255.255.252	4	2	0.0.0.3
157.60.255.252/31	157.60.255.252	157.60.255.253	255.255.255.254	2	2	0.0.0.1
157.60.255.254/32	157.60.255.254	157.60.255.254	255.255.255.255	1	1	0.0.0.0
157.60.255.255/32	157.60.255.255	157.60.255.255	255.255.255.255	1	1	0.0.0.0
40.126.128.0/17	40.126.128.0	40.126.255.255	255.255.128.0	32768	32766	0.0.127.255
40.127.0.0/17	40.127.0.0	40.127.127.255	255.255.128.0	32768	32766	0.0.127.255
40.127.128.0/18	40.127.128.0	40.127.191.255	255.255.192.0	16384	16382	0.0.63.255
40.127.192.0/19	40.127.192.0	40.127.223.255	255.255.224.0	8192	8190	0.0.31.255
40.127.224.0/20	40.127.224.0	40.127.239.255	255.255.240.0	4096	4094	0.0.15.255
40.127.240.0/21	40.127.240.0	40.127.247.255	255.255.248.0	2048	2046	0.0.7.255
40.127.248.0/22	40.127.248.0	40.127.251.255	255.255.252.0	1024	1022	0.0.3.255
40.127.252.0/23	40.127.252.0	40.127.253.255	255.255.254.0	512	510	0.0.1.255
40.127.254.0/24	40.127.254.0	40.127.254.255	255.255.255.0	256	254	0.0.0.255
40.127.255.0/25	40.127.255.0	40.127.255.127	255.255.255.128	128	126	0.0.0.127
40.127.255.128/26	40.127.255.128	40.127.255.191	255.255.255.192	64	62	0.0.0.63
40.127.255.192/27	40.127.255.192	40.127.255.223	255.255.255.224	32	30	0.0.0.31
40.127.255.224/28	40.127.255.224	40.127.255.239	255.255.255.240	16	14	0.0.0.15
40.127.255.240/29	40.127.255.240	40.127.255.247	255.255.255.248	8	6	0.0.0.7
40.127.255.248/30	40.127.255.248	40.127.255.251	255.255.255.252	4	2	0.0.0.3
40.127.255.252/31	40.127.255.252	40.127.255.253	255.255.255.254	2	2	0.0.0.1
40.127.255.254/32	40.127.255.254	40.127.255.254	255.255.255.255	1	1	0.0.0.0
40.127.255.255/32	40.127.255.255	40.127.255.255	255.255.255.255	1	1	0.0.0.0
137.135.0.0/17	137.135.0.0	137.135.127.255	255.255.128.0	32768	32766	0.0.127.255
137.135.128.0/18	137.135.128.0	137.135.191.255	255.255.192.0	16384	16382	0.0.63.255
137.135.192.0/19	137.135.192.0	137.135.223.255	255.255.224.0	8192	8190	0.0.31.255
137.135.224.0/20	137.135.224.0	137.135.239.255	255.255.240.0	4096	4094	0.0.15.255
137.135.240.0/21	137.135.240.0	137.135.247.255	255.255.248.0	2048	2046	0.0.7.255
137.135.248.0/22	137.135.248.0	137.135.251.255	255.255.252.0	1024	1022	0.0.3.255
137.135.252.0/23	137.135.252.0	137.135.253.255	255.255.254.0	512	510	0.0.1.255
137.135.254.0/24	137.135.254.0	137.135.254.255	255.255.255.0	256	254	0.0.0.255
137.135.255.0/25	137.135.255.0	137.135.255.127	255.255.255.128	128	126	0.0.0.127
137.135.255.128/26	137.135.255.128	137.135.255.191	255.255.255.192	64	62	0.0.0.63
137.135.255.192/27	137.135.255.192	137.135.255.223	255.255.255.224	32	30	0.0.0.31
137.135.255.224/28	137.135.255.224	137.135.255.239	255.255.255.240	16	14	0.0.0.15
137.135.255.240/29	137.135.255.240	137.135.255.247	255.255.255.248	8	6	0.0.0.7
137.135.255.248/30	137.135.255.248	137.135.255.251	255.255.255.252	4	2	0.0.0.3
137.135.255.252/31	137.135.255.252	137.135.255.253	255.255.255.254	2	2	0.0.0.1
137.135.255.254/32	137.135.255.254	137.135.255.254	255.255.255.255	1	1	0.0.0.0
137.135.255.255/32	137.135.255.255	137.135.255.255	255.255.255.255	1	1	0.0.0.0
65.52.0.0/15	65.52.0.0	65.53.255.255	255.254.0.0	131072	131070	0.1.255.255
65.54.0.0/16	65.54.0.0	65.54.255.255	255.255.0.0	65536	65534	0.0.255.255
65.55.0.0/17	65.55.0.0	65.55.127.255	255.255.128.0	32768	32766	0.0.127.255
65.55.128.0/18	65.55.128.0	65.55.191.255	255.255.192.0	16384	16382	0.0.63.255
65.55.192.0/19	65.55.192.0	65.55.223.255	255.255.224.0	8192	8190	0.0.31.255
65.55.224.0/20	65.55.224.0	65.55.239.255	255.255.240.0	4096	4094	0.0.15.255
65.55.240.0/21	65.55.240.0	65.55.247.255	255.255.248.0	2048	2046	0.0.7.255
65.55.248.0/22	65.55.248.0	65.55.251.255	255.255.252.0	1024	1022	0.0.3.255
65.55.252.0/23	65.55.252.0	65.55.253.255	255.255.254.0	512	510	0.0.1.255
65.55.254.0/24	65.55.254.0	65.55.254.255	255.255.255.0	256	254	0.0.0.255
65.55.255.0/25	65.55.255.0	65.55.255.127	255.255.255.128	128	126	0.0.0.127
65.55.255.128/26	65.55.255.128	65.55.255.191	255.255.255.192	64	62	0.0.0.63
65.55.255.192/27	65.55.255.192	65.55.255.223	255.255.255.224	32	30	0.0.0.31
65.55.255.224/28	65.55.255.224	65.55.255.239	255.255.255.240	16	14	0.0.0.15
65.55.255.240/29	65.55.255.240	65.55.255.247	255.255.255.248	8	6	0.0.0.7
65.55.255.248/30	65.55.255.248	65.55.255.251	255.255.255.252	4	2	0.0.0.3
65.55.255.252/31	65.55.255.252	65.55.255.253	255.255.255.254	2	2	0.0.0.1
65.55.255.254/32	65.55.255.254	65.55.255.254	255.255.255.255	1	1	0.0.0.0
65.55.255.255/32	65.55.255.255	65.55.255.255	255.255.255.255	1	1	0.0.0.0
20.180.0.0/14	20.180.0.0	20.183.255.255	255.252.0.0	262144	262142	0.3.255.255
20.184.0.0/14	20.184.0.0	20.187.255.255	255.252.0.0	262144	262142	0.3.255.255
20.188.0.0/15	20.188.0.0	20.189.255.255	255.254.0.0	131072	131070	0.1.255.255
20.190.0.0/16	20.190.0.0	20.190.255.255	255.255.0.0	65536	65534	0.0.255.255
20.191.0.0/17	20.191.0.0	20.191.127.255	255.255.128.0	32768	32766	0.0.127.255
20.191.128.0/18	20.191.128.0	20.191.191.255	255.255.192.0	16384	16382	0.0.63.255
20.191.192.0/19	20.191.192.0	20.191.223.255	255.255.224.0	8192	8190	0.0.31.255
20.191.224.0/20	20.191.224.0	20.191.239.255	255.255.240.0	4096	4094	0.0.15.255
20.191.240.0/21	20.191.240.0	20.191.247.255	255.255.248.0	2048	2046	0.0.7.255
20.191.248.0/22	20.191.248.0	20.191.251.255	255.255.252.0	1024	1022	0.0.3.255
20.191.252.0/23	20.191.252.0	20.191.253.255	255.255.254.0	512	510	0.0.1.255
20.191.254.0/24	20.191.254.0	20.191.254.255	255.255.255.0	256	254	0.0.0.255
20.191.255.0/25	20.191.255.0	20.191.255.127	255.255.255.128	128	126	0.0.0.127
20.191.255.128/26	20.191.255.128	20.191.255.191	255.255.255.192	64	62	0.0.0.63
20.191.255.192/27	20.191.255.192	20.191.255.223	255.255.255.224	32	30	0.0.0.31
20.191.255.224/28	20.191.255.224	20.191.255.239	255.255.255.240	16	14	0.0.0.15
20.191.255.240/29	20.191.255.240	20.191.255.247	255.255.255.248	8	6	0.0.0.7
20.191.255.248/30	20.191.255.248	20.191.255.251	255.255.255.252	4	2	0.0.0.3
20.191.255.252/31	20.191.255.252	20.191.255.253	255.255.255.254	2	2	0.0.0.1
20.191.255.254/32	20.191.255.254	20.191.255.254	255.255.255.255	1	1	0.0.0.0
20.191.255.255/32	20.191.255.255	20.191.255.255	255.255.255.255	1	1	0.0.0.0
104.208.0.0/14	104.208.0.0	104.211.255.255	255.252.0.0	262144	262142	0.3.255.255
104.212.0.0/15	104.212.0.0	104.213.255.255	255.254.0.0	131072	131070	0.1.255.255
104.214.0.0/16	104.214.0.0	104.214.255.255	255.255.0.0	65536	65534	0.0.255.255
104.215.0.0/17	104.215.0.0	104.215.127.255	255.255.128.0	32768	32766	0.0.127.255
104.215.128.0/18	104.215.128.0	104.215.191.255	255.255.192.0	16384	16382	0.0.63.255
104.215.192.0/19	104.215.192.0	104.215.223.255	255.255.224.0	8192	8190	0.0.31.255
104.215.224.0/20	104.215.224.0	104.215.239.255	255.255.240.0	4096	4094	0.0.15.255
104.215.240.0/21	104.215.240.0	104.215.247.255	255.255.248.0	2048	2046	0.0.7.255
104.215.248.0/22	104.215.248.0	104.215.251.255	255.255.252.0	1024	1022	0.0.3.255
104.215.252.0/23	104.215.252.0	104.215.253.255	255.255.254.0	512	510	0.0.1.255
104.215.254.0/24	104.215.254.0	104.215.254.255	255.255.255.0	256	254	0.0.0.255
104.215.255.0/25	104.215.255.0	104.215.255.127	255.255.255.128	128	126	0.0.0.127
104.215.255.128/26	104.215.255.128	104.215.255.191	255.255.255.192	64	62	0.0.0.63
104.215.255.192/27	104.215.255.192	104.215.255.223	255.255.255.224	32	30	0.0.0.31
104.215.255.224/28	104.215.255.224	104.215.255.239	255.255.255.240	16	14	0.0.0.15
104.215.255.240/29	104.215.255.240	104.215.255.247	255.255.255.248	8	6	0.0.0.7
104.215.255.248/30	104.215.255.248	104.215.255.251	255.255.255.252	4	2	0.0.0.3
104.215.255.252/31	104.215.255.252	104.215.255.253	255.255.255.254	2	2	0.0.0.1
104.215.255.254/32	104.215.255.254	104.215.255.254	255.255.255.255	1	1	0.0.0.0
104.215.255.255/32	104.215.255.255	104.215.255.255	255.255.255.255	1	1	0.0.0.0
204.79.195.0/24	204.79.195.0	204.79.195.255	255.255.255.0	256	254	0.0.0.255
204.79.196.0/24	204.79.196.0	204.79.196.255	255.255.255.0	256	254	0.0.0.255
204.79.197.0/25	204.79.197.0	204.79.197.127	255.255.255.128	128	126	0.0.0.127
204.79.197.128/26	204.79.197.128	204.79.197.191	255.255.255.192	64	62	0.0.0.63
204.79.197.192/27	204.79.197.192	204.79.197.223	255.255.255.224	32	30	0.0.0.31
204.79.197.224/28	204.79.197.224	204.79.197.239	255.255.255.240	16	14	0.0.0.15
204.79.197.240/29	204.79.197.240	204.79.197.247	255.255.255.248	8	6	0.0.0.7
204.79.197.248/30	204.79.197.248	204.79.197.251	255.255.255.252	4	2	0.0.0.3
204.79.197.252/31	204.79.197.252	204.79.197.253	255.255.255.254	2	2	0.0.0.1
204.79.197.254/32	204.79.197.254	204.79.197.254	255.255.255.255	1	1	0.0.0.0
204.79.197.255/32	204.79.197.255	204.79.197.255	255.255.255.255	1	1	0.0.0.0
40.64.0.0/14	40.64.0.0	40.67.255.255	255.252.0.0	262144	262142	0.3.255.255
40.68.0.0/15	40.68.0.0	40.69.255.255	255.254.0.0	131072	131070	0.1.255.255
40.70.0.0/16	40.70.0.0	40.70.255.255	255.255.0.0	65536	65534	0.0.255.255
40.71.0.0/17	40.71.0.0	40.71.127.255	255.255.128.0	32768	32766	0.0.127.255
40.71.128.0/18	40.71.128.0	40.71.191.255	255.255.192.0	16384	16382	0.0.63.255
40.71.192.0/19	40.71.192.0	40.71.223.255	255.255.224.0	8192	8190	0.0.31.255
40.71.224.0/20	40.71.224.0	40.71.239.255	255.255.240.0	4096	4094	0.0.15.255
40.71.240.0/21	40.71.240.0	40.71.247.255	255.255.248.0	2048	2046	0.0.7.255
40.71.248.0/22	40.71.248.0	40.71.251.255	255.255.252.0	1024	1022	0.0.3.255
40.71.252.0/23	40.71.252.0	40.71.253.255	255.255.254.0	512	510	0.0.1.255
40.71.254.0/24	40.71.254.0	40.71.254.255	255.255.255.0	256	254	0.0.0.255
40.71.255.0/25	40.71.255.0	40.71.255.127	255.255.255.128	128	126	0.0.0.127
40.71.255.128/26	40.71.255.128	40.71.255.191	255.255.255.192	64	62	0.0.0.63
40.71.255.192/27	40.71.255.192	40.71.255.223	255.255.255.224	32	30	0.0.0.31
40.71.255.224/28	40.71.255.224	40.71.255.239	255.255.255.240	16	14	0.0.0.15
40.71.255.240/29	40.71.255.240	40.71.255.247	255.255.255.248	8	6	0.0.0.7
40.71.255.248/30	40.71.255.248	40.71.255.251	255.255.255.252	4	2	0.0.0.3
40.71.255.252/31	40.71.255.252	40.71.255.253	255.255.255.254	2	2	0.0.0.1
40.71.255.254/32	40.71.255.254	40.71.255.254	255.255.255.255	1	1	0.0.0.0
40.71.255.255/32	40.71.255.255	40.71.255.255	255.255.255.255	1	1	0.0.0.0
51.103.0.0/16	51.103.0.0	51.103.255.255	255.255.0.0	65536	65534	0.0.255.255
51.104.0.0/16	51.104.0.0	51.104.255.255	255.255.0.0	65536	65534	0.0.255.255
51.105.0.0/17	51.105.0.0	51.105.127.255	255.255.128.0	32768	32766	0.0.127.255
51.105.128.0/18	51.105.128.0	51.105.191.255	255.255.192.0	16384	16382	0.0.63.255
51.105.192.0/19	51.105.192.0	51.105.223.255	255.255.224.0	8192	8190	0.0.31.255
51.105.224.0/20	51.105.224.0	51.105.239.255	255.255.240.0	4096	4094	0.0.15.255
51.105.240.0/21	51.105.240.0	51.105.247.255	255.255.248.0	2048	2046	0.0.7.255
51.105.248.0/22	51.105.248.0	51.105.251.255	255.255.252.0	1024	1022	0.0.3.255
51.105.252.0/23	51.105.252.0	51.105.253.255	255.255.254.0	512	510	0.0.1.255
51.105.254.0/24	51.105.254.0	51.105.254.255	255.255.255.0	256	254	0.0.0.255
51.105.255.0/25	51.105.255.0	51.105.255.127	255.255.255.128	128	126	0.0.0.127
51.105.255.128/26	51.105.255.128	51.105.255.191	255.255.255.192	64	62	0.0.0.63
51.105.255.192/27	51.105.255.192	51.105.255.223	255.255.255.224	32	30	0.0.0.31
51.105.255.224/28	51.105.255.224	51.105.255.239	255.255.255.240	16	14	0.0.0.15
51.105.255.240/29	51.105.255.240	51.105.255.247	255.255.255.248	8	6	0.0.0.7
51.105.255.248/30	51.105.255.248	51.105.255.251	255.255.255.252	4	2	0.0.0.3
51.105.255.252/31	51.105.255.252	51.105.255.253	255.255.255.254	2	2	0.0.0.1
51.105.255.254/32	51.105.255.254	51.105.255.254	255.255.255.255	1	1	0.0.0.0
51.105.255.255/32	51.105.255.255	51.105.255.255	255.255.255.255	1	1	0.0.0.0
40.74.0.0/15	40.74.0.0	40.75.255.255	255.254.0.0	131072	131070	0.1.255.255
40.76.0.0/14	40.76.0.0	40.79.255.255	255.252.0.0	262144	262142	0.3.255.255
40.80.0.0/12	40.80.0.0	40.95.255.255	255.240.0.0	1048576	1048574	0.15.255.255
40.96.0.0/12	40.96.0.0	40.111.255.255	255.240.0.0	1048576	1048574	0.15.255.255
40.112.0.0/13	40.112.0.0	40.119.255.255	255.248.0.0	524288	524286	0.7.255.255
40.120.0.0/14	40.120.0.0	40.123.255.255	255.252.0.0	262144	262142	0.3.255.255
40.124.0.0/16	40.124.0.0	40.124.255.255	255.255.0.0	65536	65534	0.0.255.255
40.125.0.0/18	40.125.0.0	40.125.63.255	255.255.192.0	16384	16382	0.0.63.255
40.125.64.0/19	40.125.64.0	40.125.95.255	255.255.224.0	8192	8190	0.0.31.255
40.125.96.0/20	40.125.96.0	40.125.111.255	255.255.240.0	4096	4094	0.0.15.255
40.125.112.0/21	40.125.112.0	40.125.119.255	255.255.248.0	2048	2046	0.0.7.255
40.125.120.0/22	40.125.120.0	40.125.123.255	255.255.252.0	1024	1022	0.0.3.255
40.125.124.0/23	40.125.124.0	40.125.125.255	255.255.254.0	512	510	0.0.1.255
40.125.126.0/24	40.125.126.0	40.125.126.255	255.255.255.0	256	254	0.0.0.255
40.125.127.0/25	40.125.127.0	40.125.127.127	255.255.255.128	128	126	0.0.0.127
40.125.127.128/26	40.125.127.128	40.125.127.191	255.255.255.192	64	62	0.0.0.63
40.125.127.192/27	40.125.127.192	40.125.127.223	255.255.255.224	32	30	0.0.0.31
40.125.127.224/28	40.125.127.224	40.125.127.239	255.255.255.240	16	14	0.0.0.15
40.125.127.240/29	40.125.127.240	40.125.127.247	255.255.255.248	8	6	0.0.0.7
40.125.127.248/30	40.125.127.248	40.125.127.251	255.255.255.252	4	2	0.0.0.3
40.125.127.252/31	40.125.127.252	40.125.127.253	255.255.255.254	2	2	0.0.0.1
40.125.127.254/32	40.125.127.254	40.125.127.254	255.255.255.255	1	1	0.0.0.0
40.125.127.255/32	40.125.127.255	40.125.127.255	255.255.255.255	1	1	0.0.0.0
168.61.0.0/16	168.61.0.0	168.61.255.255	255.255.0.0	65536	65534	0.0.255.255
168.62.0.0/16	168.62.0.0	168.62.255.255	255.255.0.0	65536	65534	0.0.255.255
168.63.0.0/17	168.63.0.0	168.63.127.255	255.255.128.0	32768	32766	0.0.127.255
168.63.128.0/18	168.63.128.0	168.63.191.255	255.255.192.0	16384	16382	0.0.63.255
168.63.192.0/19	168.63.192.0	168.63.223.255	255.255.224.0	8192	8190	0.0.31.255
168.63.224.0/20	168.63.224.0	168.63.239.255	255.255.240.0	4096	4094	0.0.15.255
168.63.240.0/21	168.63.240.0	168.63.247.255	255.255.248.0	2048	2046	0.0.7.255
168.63.248.0/22	168.63.248.0	168.63.251.255	255.255.252.0	1024	1022	0.0.3.255
168.63.252.0/23	168.63.252.0	168.63.253.255	255.255.254.0	512	510	0.0.1.255
168.63.254.0/24	168.63.254.0	168.63.254.255	255.255.255.0	256	254	0.0.0.255
168.63.255.0/25	168.63.255.0	168.63.255.127	255.255.255.128	128	126	0.0.0.127
168.63.255.128/26	168.63.255.128	168.63.255.191	255.255.255.192	64	62	0.0.0.63
